,fips,cases,deaths,employed-sugar-intake-daily,Democrats,Republicans
14815,2,150989,859,26.2,False,True
14816,4,1292054,22589,33.0,False,True
14817,6,5111469,75008,22.9,True,False
14818,9,425275,8925,18.9,True,False
14819,11,67430,1197,18.5,True,False
14820,18,1121965,17712,35.9,False,True
14821,19,534623,7445,34.2,False,True
14822,20,475471,6759,32.4,False,True
14823,21,799620,11210,43.4,False,True
14824,24,592912,11255,28.0,True,False
14825,27,927055,9740,23.5,True,False
14826,28,515504,10296,49.7,False,True
14827,31,313935,3180,31.1,False,True
14828,34,1272728,28457,22.7,True,False
14829,36,2775977,57273,23.1,True,False
14830,37,1544835,18835,42.1,False,True
14831,39,1731003,26851,32.0,False,True
14832,40,670420,11269,46.5,False,True
14833,45,921722,14272,42.0,False,True
14834,49,602086,3564,30.3,False,True
14835,50,52889,417,16.7,True,False
14836,54,300660,4962,46.1,False,True
14837,55,997712,10134,29.7,False,True
14838,2,151539,859,26.2,False,True
14839,4,1295076,22589,33.0,False,True
14840,6,5128950,75102,22.9,True,False
14841,9,430756,8925,18.9,True,False
14842,11,67996,1197,18.5,True,False
14843,18,1134355,17736,35.9,False,True
14844,19,534623,7445,34.2,False,True
14845,20,478694,6772,32.4,False,True
14846,21,804568,11381,43.4,False,True
14847,24,592912,11255,28.0,True,False
14848,27,933149,9778,23.5,True,False
14849,28,516486,10299,49.7,False,True
14850,31,316013,3180,31.1,False,True
14851,34,1275717,28465,22.7,True,False
14852,36,2787506,57332,23.1,True,False
14853,37,1553349,18870,42.1,False,True
14854,39,1735925,26851,32.0,False,True
14855,40,674758,11269,46.5,False,True
14856,45,924957,14314,42.0,False,True
14857,49,605544,3595,30.3,False,True
14858,50,53131,417,16.7,True,False
14859,54,301349,4990,46.1,False,True
14860,55,997712,10134,29.7,False,True
14861,2,151539,859,26.2,False,True
14862,4,1298091,22761,33.0,False,True
14863,6,5135147,75169,22.9,True,False
14864,9,432675,8945,18.9,True,False
14865,11,68134,1197,18.5,True,False
14866,18,1138535,17829,35.9,False,True
14867,19,538738,7445,34.2,False,True
14868,20,478787,6775,32.4,False,True
14869,21,807316,11434,43.4,False,True
14870,24,592912,11255,28.0,True,False
14871,27,945569,9823,23.5,True,False
14872,28,517138,10306,49.7,False,True
14873,31,317450,3202,31.1,False,True
14874,34,1279667,28494,22.7,True,False
14875,36,2796043,57396,23.1,True,False
14876,37,1555527,18890,42.1,False,True
14877,39,1743801,27011,32.0,False,True
14878,40,675733,11269,46.5,False,True
14879,45,925629,14318,42.0,False,True
14880,49,606666,3606,30.3,False,True
14881,50,53431,419,16.7,True,False
14882,54,302120,5021,46.1,False,True
14883,55,998047,10138,29.7,False,True
14884,2,151979,862,26.2,False,True
14885,4,1301597,22779,33.0,False,True
14886,6,5141243,75279,22.9,True,False
14887,9,433464,8946,18.9,True,False
14888,11,68262,1197,18.5,True,False
14889,18,1143787,17909,35.9,False,True
14890,19,542433,7550,34.2,False,True
14891,20,483217,6799,32.4,False,True
14892,21,810148,11489,43.4,False,True
14893,24,592912,11255,28.0,True,False
14894,27,948614,9898,23.5,True,False
14895,28,517925,10312,49.7,False,True
14896,31,318657,3231,31.1,False,True
14897,34,1283925,28518,22.7,True,False
14898,36,2805294,57449,23.1,True,False
14899,37,1558804,18933,42.1,False,True
14900,39,1752508,27011,32.0,False,True
14901,40,676890,11384,46.5,False,True
14902,45,926454,14334,42.0,False,True
14903,49,608089,3622,30.3,False,True
14904,50,53835,425,16.7,True,False
